Matcher,Train Size,Test Size,Accuracy,Mean Confidence,ECE
BioBERT,N/A,256,0.0859375,0.8808669459540397,0.7949294459540397
Magneto,N/A,256,0.1328125,0.37558285356499255,0.2990259637590498
RuleMatcher,1024,256,0.97265625,0.755859375,0.24804687500000003
